<OUTPUT SRCFILE="1326.raw">
Antônio_Aureliano_Chaves_de_Mendonça antônio_aureliano_chaves_de_mendonça NP00SP0 1 -
Minas minas NP00G00 1 03768346-n:0.0179664
como como CS 0.751351 -
um 1 Z 0.117991 -
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
líderes líder NCCP000 0.980769 09623038-n:0.0175717
civis civil AQ0CP00 0.578363 01517921-a:0.00432888/02697116-a:0.00335859/01518161-a:0.00323493/00412355-a:0.00311756/02696920-a:0.00304308
, , Fc 1 -
depôs depor VMIS3S0 1 01013040-v:0.0159882
o o DA0MS0 0.950254 -
presidente presidente NCMS000 0.998938 10468962-n:0.00344091/10467395-n:0.00341138/10467179-n:0.0031782/10469346-n:0.00308852/10468750-n:0.00294718/10468559-n:0.00284224
João_Goulart joão_goulart NP00SP0 1 -
. . Fp 1 -

Após após SP 1 -
a o DA0FS0 0.675415 -
vitória vitória NCFS000 1 07473441-n:0.00559161/07354731-n:0.00372774/07528097-n:0.0036272/07319103-n:0.00361218/13259917-n:0.0034594/09567913-n:0.00328452
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
movimento movimento NCMS000 0.990196 07309781-n:0.00229777/00279835-n:0.00227846/00166355-n:0.00197102/00294190-n:0.00195207/07046339-n:0.00193824/08464601-n:0.00193458/14004317-n:0.0019035/00280586-n:0.0018926/00331655-n:0.00189138/00165942-n:0.00182906/11425088-n:0.00176126
, , Fc 1 -
Magalhães_Pinto magalhães_pinto NP00SP0 1 -
reformulou reformular VMIS3S0 1 00926310-v:0.0198827
seu seu DP3MSS 0.957305 -
secretariado secretariado NCMS000 0.952137 08324274-n:0.0206997
mas mas CC 0.999313 -
manteve manter VMIS3S0 1 00117985-v:0.00417977/02202384-v:0.00379934/02225492-v:0.00369112/02679899-v:0.00354264/01184625-v:0.00343689/01016778-v:0.00338136
Aureliano_Chaves aureliano_chaves NP00SP0 1 -
em em SP 1 -
a o DA0FS0 1 -
