<OUTPUT SRCFILE="11270.raw">
** ** Fz 1 -
de de SP 1 -
governo governo NCMS000 0.914011 08050678-n:0.00539921/01124794-n:0.00520192/00815173-n:0.00480889
, , Fc 1 -
intitulada intitular VMP00SF 0.992518 01028466-v:0.00732366/01029500-v:0.00714541
Governo_Mais_Perto_de_Você governo_mais_perto_de_você NP00O00 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.0018426/02051694-v:0.00102/01955984-v:0.000956198/01995549-v:0.000930441/02072849-v:0.000921348/01904930-v:0.00090745/02009433-v:0.00086686/01935233-v:0.000844664/01957529-v:0.000828257/02102398-v:0.000804528/00341560-v:0.000789637/01882814-v:0.000746439/02058994-v:0.00074375/02685951-v:0.000740731/01846916-v:0.000737628/02102002-v:0.000732775/01849221-v:0.000729064/01841079-v:0.000700343/02686471-v:0.000678493/01839538-v:0.000662764/00343898-v:0.000652355
voltada voltar VMP00SF 0.99251 00959714-v:0.0161392
prioritariamente prioritariamente RG 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
atendimento atendimento NCMS000 1 -
de de SP 1 -
famílias família NCFP000 1 07970721-n:0.00310653/07969695-n:0.00177569/07997703-n:0.00173691/08101937-n:0.0017178/08078020-n:0.00171773/08107499-n:0.00161955/05838765-n:0.00160953/07970406-n:0.00160692/10236304-n:0.00153448/07971141-n:0.00141533
de de SP 1 -
baixa baixa NCFS000 0.689189 -
renda renda NCFS000 0.70795 13255145-n:0.00487366/03631177-n:0.00390024/13261597-n:0.00362538/13261380-n:0.00356518
. . Fp 1 -

Em em SP 1 -
17_de_janeiro_de_2008 [??:17/1/2008:??.??:??] W 1 -
, , Fc 1 -
a o DA0FS0 0.675415 -
coligação coligação NCFS000 1 08293982-n:0.00215898/14418662-n:0.00213021
União_Democrática_do_Tocantins união_democrática_do_tocantins NP00O00 1 -
, , Fc 1 -
formada formar VMP00SF 0.992518 01659248-v:0.00236763/00142191-v:0.00230504
por por SP 1 -
