<OUTPUT SRCFILE="11028.raw">
** ** Fz 1 -
mandato mandato NCMS000 0.98913 06556481-n:0.00270455/06552984-n:0.00263642/01140658-n:0.0025476/06530789-n:0.00246429
, , Fc 1 -
atuou atuar VMIS3S0 1 00010435-v:0.0111325
como como RG 0.205121 00159040-r:0.0112223
titular titular AQ0CS00 0.655827 -
em em SP 1 -
as o DA0FP0 1 -
comissões comissão NCFP000 1 08324514-n:0.00228084/08402442-n:0.0020599/00773235-n:0.00199131/13320860-n:0.00194652/06478988-n:0.00193863
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Câmara_de_Economia_,_Indústria_e_Comércio câmara_de_economia_,_indústria_e_comércio NP00O00 1 -
; ; Fx 1 -
Reforma_Tributária reforma_tributária NP00O00 1 -
; ; Fx 1 -
Prorrogação prorrogação NCFS000 1 15233989-n:0.0104476
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
CPMF cpmf NP00O00 1 -
; ; Fx 1 -
Constituição constituição NCFS000 1 04933544-n:0.00351756/06533648-n:0.00343729/00237078-n:0.00338721
e e CC 0.999951 -
Justiça justiça NP00V00 1 00694681-n:0.00326537/00694866-n:0.00203202/04850117-n:0.0018756/04839154-n:0.00172435/04826235-n:0.00165354/04850341-n:0.0016313/08135342-n:0.00146509
; ; Fx 1 -
Legislação_Participativa legislação_participativa NP00V00 1 -
; ; Fx 1 -
Limitação_de_Medidas_Provisórias limitação_de_medidas_provisórias NP00V00 1 -
; ; Fx 1 -
Comércio_Eletrônico comércio_eletrônico NP00O00 1 -
; ; Fx 1 -
Agricultura agricultura NP00V00 1 01104406-n:0.00339025/00453731-n:0.00330929/00918176-n:0.00325599
e e CC 0.999951 -
Tributação_Cumulativa tributação_cumulativa NP00V00 1 -
. . Fp 1 -

Além_de além_de SP 1 -
participar participar VMN0000 0.331148 02450256-v:0.00328357
como como CS 0.751351 -
suplente suplente NCCS000 0.375496 -
em em SP 1 -
as o DA0FP0 1 -
seguintes seguinte AQ0CP00 0.97619 00127948-a:0.00154059/00127815-a:0.00153606
comissões comissão NCFP000 1 08324514-n:0.00071/08402442-n:0.000626273/00773235-n:0.000603013/06478988-n:0.000590397/13320860-n:0.000590125
: : Fd 1 -
Finanças finanças NP00O00 1 13356112-n:0.00321884
e e CC 0.999951 -
Tributação tributação NCFS000 1 -
, , Fc 1 -
Minas mina NCFP000 0.914011 03768346-n:0.00339877
e e CC 0.999951 -
Energia energia NP00O00 1 05035961-n:0.000513809/14050143-n:0.000500716/11452218-n:0.000478334/04836683-n:0.000459037/04634833-n:0.000443743/04633197-n:0.000427623/11452079-n:0.000427432
, , Fc 1 -
Relações_Exteriores relações_exteriores NP00O00 1 -
e e CC 0.999951 -
de de SP 1 -
Defesa_Nacional defesa_nacional NP00SP0 1 -
, , Fc 1 -
ALCA alca NP00O00 1 -
- - Fg 1 -
Área_de_Livre_Comércio_das_Américas área_de_livre_comércio_das_américas NP00O00 1 -
, , Fc 1 -
PEC pec NP00O00 1 -
nº nº NCMS000 1 -
20/95 20/95 Z 1 -
, , Fc 1 -
Parlamentarismo parlamentarismo NCMS000 1 -
e e CC 0.999951 -
PEC pec NP00O00 1 -
nº nº NCMS000 1 -
85/99 85/99 Z 1 -
, , Fc 1 -
FEF fef NP00O00 1 -
. . Fp 1 -
    Fz 1 -
    Fz 1 -
Secretário_de_Estado_da_Agricultura_,_Abastecimento_,_Aquicultura_e_Pesca secretário_de_estado_da_agricultura_,_abastecimento_,_aquicultura_e_pesca NP00SP0 1 -
( ( Fpa 1 -
Seag seag NP00O00 1 -
) ) Fpt 1 -
durante durante SP 0.99651 -
o o DA0MS0 0.950254 -
primeiro primeiro AO0MS00 0.722944 01012990-a:0.00290083
mandato mandato NCMS000 0.98913 06556481-n:0.000819859/06552984-n:0.000807221/01140658-n:0.000774947/06530789-n:0.000746154
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
governador governador NCMS000 0.980769 10140314-n:0.00168376/10541229-n:0.00165931
[ [ Fca 1 -
Paulo_Hartung paulo_hartung NP00SP0 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/Paulo_Hartung http://pt.wikipedia.org/wiki/paulo_hartung NCMS000 0.833333 -
" " Fe 1 -
Paulo_Hartung paulo_hartung NP00V00 1 -
" " Fe 1 -
) ) Fpt 1 -
( ( Fpa 1 -
2003 2003 Z 1 -
a a SP 0.313151 -
2006 2006 Z 1 -
) ) Fpt 1 -
, , Fc 1 -
implantou implantar VMIS3S0 1 01528821-v:0.00320361
os o DA0MP0 0.958022 -
projetos projeto NCMP000 1 05898568-n:0.000920637/00795720-n:0.000786551/05902327-n:0.000649459/05891572-n:0.000647606/05910453-n:0.000633991
“ “ Fra 1 -
Caminhos_do_Campo caminhos_do_campo NP00G00 1 -
” ” Frc 1 -
, , Fc 1 -
com com SP 1 -
o o DA0MS0 0.950254 -
intuito intuito NCMS000 1 -
de de SP 1 -
abrir abrir VMN0000 0.529581 01346003-v:0.000565334/00219963-v:0.000534367/01348705-v:0.000468501/01579813-v:0.000423888/01346804-v:0.000420566/02426171-v:0.000419276/02425462-v:0.000416797/00539936-v:0.000410042
e e CC 0.999951 -
pavimentar pavimentar VMN0000 0.529581 01267098-v:0.00329752
estradas estrar VMP00PF 0.218699 -
por por SP 1 -
o o DA0MS0 1 -
interior interior NCMS000 0.992424 08588294-n:0.00203691/08588699-n:0.00150892
; ; Fx 1 -
“ “ Fra 1 -
Luz luz NP00G00 1 03636248-n:0.000763728/11473954-n:0.000752989/03665366-n:0.000706582/04335886-n:0.00052918/04263760-n:0.000523602/13983304-n:0.000511333
