<OUTPUT SRCFILE="8873.raw">
    Fz 1 -
presidente presidente NCMS000 0.998938 10467395-n:0.00144509/10468962-n:0.00142423/10467179-n:0.00132203/10469346-n:0.00124428/10468750-n:0.00122809/10468559-n:0.00118719
Gaspar_Dutra gaspar_dutra NP00SP0 1 -
, , Fc 1 -
em em SP 1 -
25_de_junho_de_1946 [??:25/6/1946:??.??:??] W 1 -
, , Fc 1 -
assinou assinar VMIS3S0 1 00889229-v:0.00235412/00997020-v:0.00184013/00996485-v:0.00177202/02464866-v:0.00172804
o o DA0MS0 0.950254 -
Decreto-Lei decreto-lei NP00V00 1 -
nº nº NCMS000 1 -
9.403 9403 Z 1 -
que que PR0CN00 0.584265 -
atribuiu atribuir VMIS3S0 1 00726300-v:0.00452882/00727791-v:0.00341527
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
CNI cni NP00O00 1 -
a o DA0FS0 0.675415 -
criação criação NCFS000 1 00914929-n:0.00111286/09466280-n:0.00109612/00908492-n:0.001011/00240184-n:0.000986623/03129123-n:0.000980209/07328942-n:0.000947154/03574004-n:0.0009394
, , Fc 1 -
direção direção NCFS000 1 01144876-n:0.00689811
e e CC 0.999951 -
organização organização NCFS000 1 08049401-n:0.00129746/08008335-n:0.000981249/01136519-n:0.000959345/05726596-n:0.000869658/08164585-n:0.000840625/00237078-n:0.000836191/08435388-n:0.000829986/04768657-n:0.000771634/01008378-n:0.000770403
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Serviço_Social_da_Indústria serviço_social_da_indústria NP00O00 1 -
( ( Fpa 1 -
Sesi sesi NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Para para SP 0.999444 -
isso isso PD0NN00 1 -
, , Fc 1 -
contou contar VMIS3S0 1 -
se se PP3CN00 1 -
com com SP 1 -
a o DA0FS0 0.675415 -
liderança liderança NCFS000 1 01256417-n:0.00847371/14433361-n:0.00768797/05617310-n:0.00749259
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
empresários empresário NCMP000 1 09882007-n:0.00675481/09882716-n:0.00644756/10060352-n:0.00617259/10054657-n:0.00610895
Roberto_Simonsen roberto_simonsen NP00SP0 1 -
, , Fc 1 -
em em SP 1 -
São_Paulo são_paulo NP00G00 1 -
, , Fc 1 -
e e CC 0.999951 -
Euvaldo_Lodi euvaldo_lodi NP00SP0 1 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
Rio_de_Janeiro rio_de_janeiro NP00G00 1 -
. . Fp 1 -

Organização organização NCFS000 1 05726596-n:0.00291219/08008335-n:0.00283115/08049401-n:0.00281547/08435388-n:0.00280543/08164585-n:0.00277089/01136519-n:0.00274838/00237078-n:0.00265655/04768657-n:0.00262824/01008378-n:0.0026024
e e CC 0.999951 -
recursos recurso NCMP000 1 05154676-n:0.00366043/13331778-n:0.00312442/13332009-n:0.00297878/05154908-n:0.00286816/05155123-n:0.00285432/00177448-n:0.00284187/05154517-n:0.00281281/01208597-n:0.00272936/07246932-n:0.00244904
A a SP 0.313151 -
organização organização NCFS000 1 05726596-n:0.00291219/08008335-n:0.00283115/08049401-n:0.00281547/08435388-n:0.00280543/08164585-n:0.00277089/01136519-n:0.00274838/00237078-n:0.00265655/04768657-n:0.00262824/01008378-n:0.0026024
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Sesi sesi NP00O00 1 -
se se PP3CN00 0.861659 -
deu dar VMIS3S0 1 02230772-v:0.00166695/02327200-v:0.00161491/02200686-v:0.00156251/02199590-v:0.00140138/02339413-v:0.00134339/00056930-v:0.00125195/02358327-v:0.00124722/02229055-v:0.001247/02235229-v:0.00123767/02262278-v:0.0012305/02308741-v:0.00121213/02296153-v:0.00113141/02293321-v:0.00112412/02263027-v:0.00108319/02255462-v:0.00107512/02316649-v:0.00105267/02357873-v:0.00101342/02310328-v:0.001004/02310007-v:0.000992213/01180351-v:0.000985417/02316868-v:0.000976563/02336483-v:0.000972321/02200498-v:0.000965796/01233027-v:0.00094281
em_torno_de em_torno_de SP 1 -
órgãos órgão NCMP000 1 03854065-n:0.00386064/05297523-n:0.00357451/03273551-n:0.00350236/03494537-n:0.00330306/06595056-n:0.00326807/13087625-n:0.00326226/08349350-n:0.00317547
nacionais nacional AQ0CP00 0.991803 01105840-a:0.00416203/01567862-a:0.0036623/02988060-a:0.00354333/02988402-a:0.00340164/02988281-a:0.00329265/01861776-a:0.003176/01038332-a:0.0031399
e e CC 0.999951 -
regionais regional AQ0CP00 1 02871858-a:0.0118482/02408977-a:0.0117297
. . Fp 1 -

O o DA0MS0 0.950254 -
